Year,Mes,Dia,PP,TX,TN
2000,1,1,0,31.8,20.6
2000,1,2,0,31.6,19.8
2000,1,3,0,32.4,19.2
2000,1,4,0,33.8,18.4
2000,1,5,0,33.6,21.2
2000,1,6,0,34,17.4
2000,1,7,0,31,17
2000,1,8,0,32,20.4
2000,1,9,0,33.4,18.2
2000,1,10,0,32,21.2
2000,1,11,0,34.2,21.6
2000,1,12,0,34,18.2
2000,1,13,0,31.4,21.2
2000,1,14,0,33.6,21.8
2000,1,15,0,34.4,22
2000,1,16,0,34.2,20.4
2000,1,17,0,34,17.6
2000,1,18,0,34,22.2
2000,1,19,0,33.2,22
2000,1,20,0,33,22.2
2000,1,21,0,33.8,23.6
2000,1,22,0,33,23.8
2000,1,23,0,33.8,23.4
2000,1,24,0,34.8,22.2
2000,1,25,0,33.8,22.6
2000,1,26,2,33.8,21.4
2000,1,27,0.2,29,21.8
2000,1,28,0,33.6,22.4
2000,1,29,0,34,21.8
2000,1,30,0,33.6,20.8
2000,1,31,0,35.4,21.6
2000,2,1,0,35.2,22.8
2000,2,2,0,35,23.6
2000,2,3,0,35.8,23.8
2000,2,4,2,32.6,24
2000,2,5,7.3,33.4,22.2
2000,2,6,0.4,33.2,22
2000,2,7,0,33.8,22.6
2000,2,8,0,35,23
2000,2,9,0,33.4,22.8
2000,2,10,0,34.4,23.2
2000,2,11,0,34.8,22
2000,2,12,0,35,20.2
2000,2,13,0,35.4,21
2000,2,14,0,35.2,19
2000,2,15,0,34.8,20.4
2000,2,16,0,34.6,23.6
2000,2,17,0,36.4,20.4
2000,2,18,0,32.2,23
2000,2,19,0,36.6,22.8
2000,2,20,0,35.8,23.8
2000,2,21,0,35.4,22.6
2000,2,22,0,34.2,21.4
2000,2,23,0,34.6,22.4
2000,2,24,0,34,22.8
2000,2,25,0.8,31,23.2
2000,2,26,0,34.6,22.8
2000,2,27,0,37.2,24.2
2000,2,28,0,35.2,23.2
2000,2,29,0,32.8,23
2000,3,1,0,32.8,22.2
2000,3,2,0,33.8,23
2000,3,3,0,34.4,22.4
2000,3,4,0.3,34,23.6
2000,3,5,0,33.6,22.6
2000,3,6,0.1,33.8,22
2000,3,7,1.6,34,22.2
2000,3,8,1,30.4,21.2
2000,3,9,0,35,22.2
2000,3,10,0,35.2,24.2
2000,3,11,0,35.8,24.4
2000,3,12,0,34.8,22.6
2000,3,13,0,36,23.6
2000,3,14,0,35.8,22.2
2000,3,15,0,34,23.4
2000,3,16,0,33.4,23.2
2000,3,17,0,33.6,22.8
2000,3,18,0,35.2,21.6
2000,3,19,0,33.6,21.4
2000,3,20,0,36,19.4
2000,3,21,0,34.6,20.8
2000,3,22,0,33,22
2000,3,23,1.8,33,21
2000,3,24,0,32,20.6
2000,3,25,0,35.6,21.8
2000,3,26,0,33.8,22.2
2000,3,27,0,35.2,22.4
2000,3,28,0,33,22
2000,3,29,0,32.8,23
2000,3,30,0,34.6,22.8
2000,3,31,1.4,36.2,23
2000,4,1,1,34.8,21.6
2000,4,2,0,34.6,21.8
2000,4,3,0,32.8,23.2
2000,4,4,6.3,33.2,22.2
2000,4,5,6.1,33.4,21.8
2000,4,6,0,31.4,22.6
2000,4,7,0,34,22.2
2000,4,8,0,32.8,22.2
2000,4,9,0,33.2,20.6
2000,4,10,3.8,34,22.6
2000,4,11,4.5,33.2,22.2
2000,4,12,0,32,22
2000,4,13,0,32.4,22.4
2000,4,14,0,34.2,22.2
2000,4,15,0,34.2,21.6
2000,4,16,0,33.8,22.4
2000,4,17,0,33.6,22.4
2000,4,18,0,33.4,20.8
2000,4,19,0,32.2,19.2
2000,4,20,0,31.2,21.2
2000,4,21,0,31,20.4
2000,4,22,0,33,19
