"","X110783","X110781","X110780","X110788","X158326","X158329","X120764","X110827"
"1981-01-01",135.64,155.04,110.36,76.05,68.58,3.66,26.83,70.52
"1981-02-01",182.91,224.45,144.19,120.79,63.4,1.8,39.44,93.18
"1981-03-01",239.15,163.77,131.25,107.45,90.76,1.59,68.76,87.23
"1981-04-01",35.54,35.9,19.16,13.03,28.19,0.35,8.24,13.09
"1981-05-01",1.54,20.02,6.1,0.56,8.89,0,0,0.14
"1981-06-01",1.1,1.66,1.01,0.36,1.76,0,0,0.06
"1981-07-01",0.5,0.32,0.25,0,3.64,0,0,0
"1981-08-01",1.7,18.8,6.84,11.1,14.14,0.14,2.76,5.85
"1981-09-01",18.55,20.34,6.43,2.53,35,0,0,0.96
"1981-10-01",53.4,81.76,33.07,22.74,50.04,0.02,0.02,10.87
"1981-11-01",82.61,85.03,38.13,26.79,49.87,0.05,0.01,14.45
"1981-12-01",83.24,149.28,78.13,44.38,135.34,2.14,48.65,39.3
"1982-01-01",229.14,178.33,121.73,89.91,69.04,16.94,28.22,91.56
"1982-02-01",154.25,182.94,113.95,82.83,46.84,2.05,39.85,76.45
"1982-03-01",146.57,143.95,107.69,93.92,49.02,3.61,50.19,74.17
"1982-04-01",86.54,73.89,33.71,16.2,24.29,0,1.18,13.91
"1982-05-01",0.58,13.28,3.78,0.43,6.08,0,0,0.08
"1982-06-01",5.94,2.78,1.68,0.49,1.46,0,0,0.12
"1982-07-01",0.9,0.51,0.42,0,2.37,0,0,0
"1982-08-01",5.74,7.04,2.12,1.12,9.71,0,0.02,0.12
"1982-09-01",5.23,37.21,12.97,6.84,22.98,0.06,0,4.49
"1982-10-01",63.32,89.99,51.12,28.68,35.83,0.47,2.32,17.08
"1982-11-01",75.26,114.78,50.31,33.6,56.53,0.45,2.88,15.15
"1982-12-01",69.16,61.72,40.21,19.16,77.34,0.03,2.52,13.12
"1983-01-01",78.65,77.08,39.21,20.61,57.65,0.21,10.37,12.5
"1983-02-01",96.31,109.39,68.76,41.04,35.14,0.02,14.59,31.49
"1983-03-01",85.58,186.84,128.19,90.44,34.84,1.04,5.74,70.75
"1983-04-01",40.28,50.73,21.58,8.05,30.35,0.01,1.97,6.95
"1983-05-01",11.93,12.13,5.88,1.09,11.96,0.1,0.12,0.7
"1983-06-01",5.62,3.05,1.86,0.64,2.35,0,0,0.21
"1983-07-01",0.72,0.39,0.3,0,1.59,0,0,0
"1983-08-01",2.24,6.71,1.68,0.91,6.42,0,0,0
"1983-09-01",12.64,25.59,7.74,3.79,22.76,0.1,0,2.28
"1983-10-01",5.32,24.55,7.26,3.21,23.85,0,0,1.2
"1983-11-01",22.95,30.6,10.67,5.69,35.26,0,0,1.79
"1983-12-01",50.06,136.13,81.04,50.11,83.32,0.65,37.84,39.62
"1984-01-01",156.87,214.22,124.79,66.28,78.63,4.63,62.16,56.08
"1984-02-01",329.37,192.19,119.55,32.71,77.43,3.85,103.69,22.72
"1984-03-01",204.11,245.88,185.79,135.11,83.23,2.74,101.74,92.07
"1984-04-01",95.09,56.76,28.56,13.86,54.83,0.17,11.88,12.17
"1984-05-01",64.63,35.7,14.58,1.31,27.32,0.07,0,0.84
"1984-06-01",23.32,3.39,2.55,0.73,5.15,0.01,0.04,0.3
"1984-07-01",0.58,0.43,0.88,0.25,7.14,0.02,0,0.13
"1984-08-01",5.41,6.62,2.04,1.1,11.18,0.07,0.11,0.13
"1984-09-01",10.65,9.68,4.69,2.69,30.97,0.08,0.04,1.59
"1984-10-01",65.67,76.11,32.34,12.19,41,0.69,0.63,6.41
"1984-11-01",69.69,95.04,38.78,20.8,50.34,0.13,2.65,9.18
"1984-12-01",104.03,106.29,63.38,37.19,69.69,0.75,24.18,28.86
"1985-01-01",127.34,162.56,94.02,55.92,94.38,0.47,14.24,42.56
"1985-02-01",118.37,150.17,99.25,65.97,44.89,1.07,34.87,53.01
"1985-03-01",142.15,140.79,117.16,92.42,53.68,0.65,39.05,69.15
"1985-04-01",55.04,99.96,48.19,14.57,29.99,1.2,3.06,9.79
"1985-05-01",23.97,15.18,7.24,0.77,18.11,0.03,0,0.54
"1985-06-01",10.84,3.2,2.19,0.72,2.38,0.02,0.01,0.28
"1985-07-01",2.96,1.06,0.76,0.05,3.12,0,0,0
"1985-08-01",1.13,14.14,2.97,1.13,14.38,0,0,0.14
"1985-09-01",22.87,26.35,8.97,1.95,38.38,0.08,0,0.87
"1985-10-01",38.6,44.02,19.12,19.21,20.89,0,0,13.76
"1985-11-01",45.11,48.76,19.68,10.53,32.09,0,0,5.15
"1985-12-01",67.07,108.73,67.64,41.31,85.16,11.49,38.95,34.02
"1986-01-01",205.89,223.77,161.04,123.85,109.52,3.33,53.58,113.97
"1986-02-01",120.85,161.81,107.6,75.41,50.28,1.39,39.34,67.2
"1986-03-01",134.84,157.77,113.23,88.48,59.88,1.14,57.45,68.88
"1986-04-01",124.79,97.98,50.53,27.07,33.35,0.09,11.9,30.47
"1986-05-01",32.94,14.03,6.82,0.77,15.91,0.25,4.14,0.62
"1986-06-01",0.27,0.18,0.37,0.06,0.88,0,0,0
"1986-07-01",2.39,0.62,0.68,0.11,3.3,0,0,0.04
"1986-08-01",4.14,15.34,4.5,2.49,23.13,0.63,2.45,0.8
"1986-09-01",19.51,26.95,8.66,3.17,26.74,0.06,0,1.72
