Fecha,YAURI,VILCA,CARANIA,HUANTAN,TANTA,PACARAN,HUANGASCAR,YAUYOS
1986-01-01,129.8,136.7,189.6,127.3,105.9,,166.6,
1986-02-01,157.7,186,268.1,439.1,182.9,5.1,178.3,
1986-03-01,149.3,141.2,160,351.3,146.2,2.6,154,
1986-04-01,81.4,116.2,77.4,302.2,151.4,,10.7,
1986-05-01,18.6,60.7,47.7,53.5,114.3,,18.2,
1986-06-01,11.2,3.2,0,0,59.1,,0,
1986-07-01,11.5,30.7,0.9,27.2,34.9,,0,
1986-08-01,18.4,214.5,0.6,0,63.2,,6.3,
1986-09-01,34.7,56,0,0,76.6,,0,
1986-10-01,80.4,5.5,0,130.2,,0,0,
1986-11-01,54.1,26.5,30.5,0,59.8,,5.4,
1986-12-01,158.7,44,79.1,173.5,78.2,,107.6,
1987-01-01,315.3,116.6,250.2,402,175.6,,43,
1987-02-01,180.7,101.2,75,350.7,132.3,5,46.2,
1987-03-01,89.8,52.3,47.8,246.6,37,5.9,44.7,
1987-04-01,39.1,16.9,21.4,43.9,24.3,,0,
1987-05-01,12,6.3,0,0,0,0,0,
1987-06-01,20.5,29.5,0,0,7.2,0,0,
1987-07-01,70.6,15.7,0,9.3,0,0,10.3,
1987-08-01,13.2,19.7,14.3,20.1,,0,2.7,
1987-09-01,10.7,70.4,0,5.8,,0,0,
1987-10-01,27.8,167.2,0,0,13,0,0,
1987-11-01,63.7,187.3,15.1,30.6,0,0,44.9,
1987-12-01,143.8,140.9,29.2,60.1,48.3,0,0,
1988-01-01,209.1,175.2,236.1,409,72.1,7.9,86.5,
1988-02-01,206.7,128,78.7,252,,5.5,66.4,
1988-03-01,214.4,142.4,111.6,364.5,100.2,0,64,
1988-04-01,163.9,86.6,29.8,51.1,0,46.3,240,
1988-05-01,21.3,48.7,16.6,8.4,,0,111.9,
1988-06-01,10.3,18.3,0,3.4,,0,115.1,
1988-07-01,0,7.8,0,7.8,0,0,6.3,
1988-08-01,10.7,40.6,0,12.2,0,0,0,
1988-09-01,33.8,55.8,0,3.1,0,0,16.7,
1988-10-01,60.6,67.8,30.8,5.3,0,0,66.8,
1988-11-01,81.4,74.6,0,51.6,0,0,50.4,
1988-12-01,175.3,126,132.1,65.3,,0,103.4,
1989-01-01,196.8,132,139.4,223.5,98.4,,162.7,
1989-02-01,176.7,160.2,156.9,238.3,72,,123.2,
1989-03-01,212,144.3,215.5,125.9,107.9,,,
1989-04-01,49.3,71.3,30.5,88.1,50.5,,,
1989-05-01,17.7,23.9,7.1,0,15.4,,0,
1989-06-01,27.6,15,0.6,0,3.1,0,0,
1989-07-01,8.5,15.2,0,0,5.6,0,0,
1989-08-01,49.7,4.2,3.5,0,16.1,,0,
