Fecha,X112059,X112056,X111031
1981-01-01,8.25,9.57,11.51
1981-01-02,9.52,10.6,12.54
1981-01-03,9.97,11.03,13.13
1981-01-04,10.43,11.21,13.47
1981-01-05,10.16,11.23,13.36
1981-01-06,9.43,10.35,12.47
1981-01-07,9.86,10.78,12.67
1981-01-08,10.38,11.23,13.18
1981-01-09,10.31,11.03,13.35
1981-01-10,10.77,11.77,13.59
1981-01-11,10.02,11.15,12.32
1981-01-12,10.19,10.86,13.01
1981-01-13,9.24,10.23,11.71
1981-01-14,7.99,9.76,10.97
1981-01-15,10.17,11.17,13.1
1981-01-16,10.31,11.2,13.11
1981-01-17,10.29,11.25,13.21
1981-01-18,9.02,10.19,11.79
1981-01-19,7.31,8.93,10.6
1981-01-20,8.23,9.79,11.12
1981-01-21,8.72,10.18,11.6
1981-01-22,8.32,9.93,11.24
1981-01-23,7.92,9.18,10.76
1981-01-24,7.12,8.75,10.15
1981-01-25,8.79,10.02,12.02
1981-01-26,9.64,10.67,12.8
1981-01-27,9.75,10.94,12.72
1981-01-28,8.73,10.33,11.68
1981-01-29,9.88,10.8,12.52
1981-01-30,10.78,11.73,13.45
1981-01-31,10.03,10.93,12.58
1981-02-01,9.01,10.23,11.97
1981-02-02,10.65,11.84,13.72
1981-02-03,10.01,11.39,13.1
1981-02-04,9.54,10.62,12.3
1981-02-05,10.2,11.36,13.18
1981-02-06,9.78,11.09,12.63
1981-02-07,9.42,10.28,12.05
1981-02-08,9.18,10.38,12.04
1981-02-09,10.14,11.04,13.15
1981-02-10,9.63,10.69,12.53
1981-02-11,9.22,10.49,12.37
1981-02-12,9.01,10.15,12.11
1981-02-13,9.76,10.64,12.36
1981-02-14,10.2,11.26,13.03
1981-02-15,10.43,11.38,13.07
1981-02-16,9.87,10.88,12.4
1981-02-17,9.94,10.91,13.08
1981-02-18,9.51,10.57,12.7
1981-02-19,9.85,10.72,12.89
1981-02-20,10.3,11.39,13.22
1981-02-21,9,10.27,12.01
1981-02-22,9.11,10.36,12.07
1981-02-23,11.06,11.99,13.8
1981-02-24,10.79,11.86,13.62
1981-02-25,10.05,11.13,13.02
1981-02-26,10.3,11.23,12.94
1981-02-27,10.21,11.27,13.07
1981-02-28,10.54,11.37,13.16
1981-03-01,9.76,10.79,12.19
1981-03-02,11.09,12.01,13.6
1981-03-03,10.79,11.68,13.22
1981-03-04,11.27,12.18,13.85
1981-03-05,10.82,11.81,13.58
1981-03-06,10.06,11.14,13.04
1981-03-07,10.64,11.47,13.31
1981-03-08,10.98,11.97,13.8
1981-03-09,10.35,11.51,12.93
1981-03-10,10.68,11.46,13.23
1981-03-11,9.88,10.96,12.56
1981-03-12,9.45,10.64,11.65
1981-03-13,10.15,11.05,12.51
1981-03-14,10.3,11.37,12.74
1981-03-15,9.92,10.76,12.56
1981-03-16,9.51,10.4,11.96
1981-03-17,10.02,11.03,12.21
1981-03-18,9.35,10.34,11.49
1981-03-19,9.37,10.49,11.45
1981-03-20,8.41,9.59,10.75
1981-03-21,7.41,8.97,9.76
1981-03-22,7.52,9.26,9.43
1981-03-23,8.98,9.89,11.52
1981-03-24,8.38,9.35,11.19
1981-03-25,9.13,9.79,12.09
1981-03-26,9.17,10.22,12.13
1981-03-27,8.16,9.26,11.05
1981-03-28,9.21,9.96,11.48
1981-03-29,9.95,10.68,12.16
1981-03-30,9.01,10.09,11.33
1981-03-31,10.03,10.87,12.35
1981-04-01,9.64,10.27,12.65
1981-04-02,10.36,10.92,13.02
1981-04-03,8.53,9.34,11.28
1981-04-04,9.94,10.19,12.85
1981-04-05,8.14,9.24,11.09
1981-04-06,8.63,9.5,11.92
1981-04-07,8.57,9.31,11.79
1981-04-08,8.7,9.52,11.79
1981-04-09,8.63,9.8,11.38
1981-04-10,8.99,9.84,11.91
1981-04-11,8.34,9.45,11.08
1981-04-12,8.39,9.1,11.51
1981-04-13,8.25,8.96,11.03
1981-04-14,8.43,9.04,11.27
1981-04-15,7.94,8.52,10.81
1981-04-16,8.5,9.07,11.17
1981-04-17,8.58,9.31,11.8
1981-04-18,8.54,9.33,11.48
1981-04-19,8.91,9.41,11.69
1981-04-20,7.49,8.16,10.11
1981-04-21,8.39,9.01,11.41
1981-04-22,9.87,10.36,12.45
1981-04-23,8.78,9.2,11.38
1981-04-24,8.73,9.12,11.19
1981-04-25,9.38,9.85,11.95
1981-04-26,8.49,8.99,10.94
1981-04-27,8.86,9.08,11.3
1981-04-28,7.76,8.15,10.37
1981-04-29,7.87,8.28,10.48
1981-04-30,7.55,8.07,10.19
1981-05-01,7.06,7.22,9.24
1981-05-02,6.83,6.91,9.08
1981-05-03,6.89,7.21,9.34
1981-05-04,8.44,8.78,10.71
1981-05-05,8.26,8.68,10.6
1981-05-06,9.61,9.88,12.04
1981-05-07,9.41,9.82,12
1981-05-08,7.48,7.9,10.06
1981-05-09,7.41,7.76,9.85
1981-05-10,8.07,8.24,10.29
1981-05-11,9.28,9.79,11.91
1981-05-12,8.48,9.33,11.13
1981-05-13,8.74,9.71,11.48
1981-05-14,8.26,8.59,10.27
1981-05-15,8.69,8.85,10.91
1981-05-16,8.6,8.48,10.7
1981-05-17,7.83,8.19,9.92
1981-05-18,7.15,7.56,9.37
1981-05-19,7.53,7.61,9.98
1981-05-20,8.62,8.56,10.97
1981-05-21,8.5,8.92,10.73
1981-05-22,9.12,9.22,11.14
1981-05-23,7.49,7.77,9.57
1981-05-24,7.51,7.73,9.75
1981-05-25,7.64,8.03,9.96
1981-05-26,7.09,7.66,9.8
1981-05-27,6.87,7.15,9.64
1981-05-28,8.17,8.32,10.53
1981-05-29,8.25,8.54,10.3
1981-05-30,6.7,7.46,8.89
1981-05-31,6.7,6.98,8.98
1981-06-01,6.06,6.08,8.87
1981-06-02,5.43,5.36,8.38
1981-06-03,6.08,6.08,9.27
1981-06-04,7.12,7.43,9.79
1981-06-05,7.27,7.42,10.14
1981-06-06,6.09,5.93,8.61
1981-06-07,7.97,7.64,10.19
1981-06-08,8.42,8.25,11.46
1981-06-09,7.95,7.82,10.44
1981-06-10,6.33,6.32,9.14
1981-06-11,7.09,7.15,9.75
1981-06-12,7.6,7.27,10.37
1981-06-13,6.81,6.92,9.38
1981-06-14,7.49,7.59,9.84
1981-06-15,7.58,7.72,10.1
1981-06-16,6.29,6.37,8.93
1981-06-17,7.36,7.14,9.64
1981-06-18,6.88,7.21,9.63
1981-06-19,5.99,6.03,8.54
1981-06-20,5.8,6,8.54
1981-06-21,6.04,6.16,8.72
1981-06-22,5.88,5.99,8.61
1981-06-23,5.89,6.05,8.74
1981-06-24,5.72,5.71,8.28
1981-06-25,5.88,5.96,8.38
1981-06-26,6.61,6.62,9.16
1981-06-27,6.97,7.07,9.33
1981-06-28,7.21,7.32,9.45
1981-06-29,7.32,7.31,9.68
1981-06-30,7.22,7.14,9.65
1981-07-01,6.74,7.1,9.15
1981-07-02,6.4,6.93,9.1
1981-07-03,8.14,8.54,10.99
1981-07-04,8.27,8.56,10.86
1981-07-05,7.7,7.91,9.85
1981-07-06,7.6,7.79,9.59
1981-07-07,7.87,8.13,9.95
1981-07-08,8.53,8.63,10.75
1981-07-09,8.17,8.44,10.37
1981-07-10,7.74,8.06,10.1
1981-07-11,6.93,7.34,9.96
1981-07-12,6.97,7.3,9.74
1981-07-13,7.54,8.02,10.46
1981-07-14,7.97,8.43,11.27
1981-07-15,7.82,8.18,10.67
1981-07-16,6.3,6.82,8.68
1981-07-17,6.79,7.21,9.54
1981-07-18,8.29,8.56,11.16
1981-07-19,7.23,7.57,9.91
1981-07-20,6.06,6.3,8.22
1981-07-21,5.39,5.83,7.9
1981-07-22,5.67,5.97,8.35
1981-07-23,6.98,7.2,9.46
1981-07-24,6.4,6.63,9.04
1981-07-25,6.04,6.32,8.52
1981-07-26,5.81,6.19,8.25
1981-07-27,6.56,6.93,9.21
1981-07-28,7.63,8.19,10.39
1981-07-29,6.69,7.23,9.3
1981-07-30,7.61,8,9.98
1981-07-31,7.74,8.19,10.01
1981-08-01,6.59,7.26,9.14
1981-08-02,5.74,6.42,8.39
1981-08-03,6.41,7.03,9.56
1981-08-04,6.55,7.11,9.36
1981-08-05,6.66,7.21,9.78
1981-08-06,6.01,7,9.3
1981-08-07,6.47,6.61,9.73
1981-08-08,5.37,6.46,8.48
1981-08-09,6.75,7.43,9.74
1981-08-10,7.02,7.66,9.83
1981-08-11,7.31,7.22,10.33
1981-08-12,7.18,7.75,10.55
1981-08-13,7.62,8.12,10.65
1981-08-14,7.52,7.77,10.57
1981-08-15,8.33,8.28,11.37
1981-08-16,6.47,7.04,10.22
1981-08-17,5.64,6.08,9.29
1981-08-18,6.99,7.66,10.28
1981-08-19,7,7.65,9.92
1981-08-20,7.6,8.17,10.87
1981-08-21,6.77,7.17,9.8
1981-08-22,6.5,6.82,9.65
1981-08-23,6.93,7.17,10.03
1981-08-24,7.33,7.59,10.3
1981-08-25,7.88,8.28,10.85
1981-08-26,7.43,7.88,10.86
1981-08-27,8.68,9.13,12.05
1981-08-28,7.89,8.73,10.99
1981-08-29,5.88,7.02,8.91
1981-08-30,5,6.14,8.02
